knowledge,raw_question,correct_answer,hallucinated_answer
The American Hairless Terrier is a rare breed of dog that was derived as a variant of Rat Terrier.The Shiloh Shepherd is a new dog breed that is still under development.,"What is a rare breed of dog that was derived as a variant of Rat Terrier, Shiloh Shepherd dog or American Hairless Terrier ?",American Hairless Terrier,Shiloh Shepherd dog is a rare breed of dog that was derived as a variant of Rat Terrier.
"Andy Borowitz (born January 4, 1958) is an American writer, comedian, satirist, and actor. He is known for creating ""The Fresh Prince of Bel-Air"" and the satirical column ""The Borowitz Report"".The Fresh Prince of Bel-Air is an American sitcom that originally aired on NBC from September 10, 1990, to May 20, 1996. The show stars Will Smith as a fictionalized version of himself, a street-smart teenager from West Philadelphia who is sent to move in with his wealthy aunt and uncle in their Bel Air mansion after getting into a fight on a local basketball court.","Which TV show starring Will Smith was written by the creator of ""The Borowitz Report""?",The Fresh Prince of Bel-Air,The Borowitz Report was a spin-off sitcom of The Fresh Prince of Bel-Air.
"Sierra de Guadarrama National Park (in Spanish: ""Parque Nacional de la Sierra de Guadarrama"") is a national park in Spain, covering nearly 34,000 hectares, the fifth largest in Spain's national parks system.Teide National Park (Spanish: ""Parque nacional del Teide"" , ] ) is a national park located in Tenerife (Canary Islands, Spain).",Are Guadarrama National Park and Teide National Park both in the Spanish mainland?,no,"Yes, both parks are in Spain."
"Catfish is a 2010 American documentary film directed by Henry Joost and Ariel Schulman, involving a young man, Nev, being filmed by his brother and friend, co-directors Ariel and Henry, as he builds a romantic relationship with a young woman on the social networking website Facebook.Yaniv ""Nev"" Schulman (born September 26, 1984) is an American producer, actor, photographer, and TV host.",When was the man who was filmed by his brother and friend as he built a romantic relationship on Facebook born?,"September 26, 1984",The man who built a fake romantic relationship on Facebook was born in the 90s.
"The Great Santini is a 1979 American drama film written and directed by Lewis John Carlino, based on the 1976 novel of the same name by Pat Conroy.A tragic hero is the protagonist of a tragedy in drama.",What genre does both the tragic hero as a protagonist and the film The Great Santini fall into?,drama,"The Great Santini is a classic tragedy film, with a tragic hero portraying the drama genre."
"Endem TV Tower is a TV tower in Beylikdüzü, Istanbul, Turkey. It was built between 1998 and 2002, and has a now closed revolving restaurant 154 m above ground, as well as an observation deck at 160 m . The total height of the tower si 257 m including the antenna.The Cağaloğlu Hamam, finished in 1741, is the last hamam to be built in the Ottoman Empire. It was constructed in Istanbul Eminönü, in Alemdar, on Hilal-i Ahmer street as a public hamam to raise revenue for the library of Sultan Mahmud I, previously situated inside the mosque of Ayasofya. It is the last example of its kind to be built in Istanbul and is still operational today.","What city features Endem TV Tower, a 257 m tall tower which once included a revolving restaurant 154 m above ground as well as Cağaloğlu Hamam, the last of its kind public hamam built in 1741 to raise revenue by a library.","Istanbul, Turkey","Ankara, Turkey"
" She won the United States Senate election in New York, 2000 and the United States Senate election in New York, 2006. Incumbent Democratic U.S. Senator Hillary Rodham Clinton won, by a more than two-to-one margin, a second term representing New York in the United States Senate.",What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,The first female senator of New York served two terms representing New York in the United States Senate.
"Where Danger Lives is a 1950 film noir thriller directed by John Farrow and starring Robert Mitchum, Faith Domergue and Claude Rains. At the time, Domergue was the latest of Howard Hughes' proteges. Later in life, he became known for his eccentric behavior and reclusive lifestyle—oddities that were caused in part by a worsening obsessive–compulsive disorder (OCD) and chronic pain from a plane crash.",What disorder the man whose protege starred in Where Danger Lives have?,OCD,The man whose protege starred in Where Danger Lives had multiple mental health disorders.
"John Still (1880–1941) was a British archaeologist and author, known for his discoveries at Sigiriya and his book ""The Jungle Tide"".Sigiriya or Sinhagiri (""Lion Rock"" Sinhalese: සීගිරිය , Tamil: சிகிரியா , pronounced see-gi-ri-yə) is an ancient rock fortress located in the northern Matale District near the town of Dambulla in the Central Province, Sri Lanka.",John Still was a British archaeologist known for his discoveries at an ancient rock fortress located in what country?,Sri Lanka,John Still was an American archaeologist known for his discoveries at Machu Picchu in Peru.
"The Borrowers is a Hallmark Hall of Fame TV special first broadcast in 1973 on NBC.Tammy Lee Grimes (January 30, 1934 – October 30, 2016) was an American actress and singer.",Tammy Lee Grimes was an American actress and singer who starred in a Hallmark Hall of Fame TV special first broadcast in 1973 on NBC called what?,The Borrowers,Tammy Lee Grimes starred in a 1973 Hallmark TV special.
"Auburn is an electoral district of the Legislative Assembly of the Australian state of New South Wales in Sydney's West. It is currently represented by Luke Foley, the leader of the Australian Labor Party. Foley was a member of the New South Wales Legislative Council since 19 June 2010 until his resignation to contest the Legislative Assembly seat of Auburn at the 2015 New South Wales election.",When did the politician who represented the electoral district in Sydney's West resign from his political party?,2015,The politician never resigned from his political party.
" is a 2016 pinball video game developed by Tag Games and published by Rovio Entertainment as the thirteenth game in the ""Angry Birds"" series, and the first to have the birds appear like their counterparts in ""The Angry Birds Movie"".The Angry Birds Movie (or simply Angry Birds) is a 2016 3D computer-animated comedy film based on the video game series of the same name, but it can also be interpreted to be a direct prequel to, or origin story behind the original game. It was directed by Clay Kaytis and Fergal Reilly in their directorial debuts, and written by Jon Vitti.","What 2016 animated movie about birds, written by Jon Vitti, features characters also used in a pinball video game published by Rovio Entertainment in the same year?",The Angry Birds Movie,The Angry Birds Movie pinball video game.
"Florence MacLeod Harper was a Canadian journalist sent by U.S. newspaper ""Frank Leslie's Illustrated Newspaper"" as a staff reporter with an assignment to cover World War I on the Eastern front.Frank Leslie's Illustrated Newspaper, later renamed Leslie's Weekly, was an American illustrated literary and news magazine founded in 1855 and published until 1922.",Florence MacLeod Harper covered World War I on the eastern front for a newspaper that was was founded in what year?,1855,The newspaper was founded in 1860.
"Philips Classics Records was started in the 1980s as the new classics record label for Philips Records.Alfred Brendel KBE (born 5 January 1931) is an Austrian pianist, poet and author, known particularly for his performances of Mozart, Schubert, Schoenberg, and especially Beethoven.",Who was a successful artist at Philips Classics Records?,Alfred Brendel,Philips Classics Records was a successful artist.
"David Connell (1931–1995) was the original executive producer for ""Sesame Street"", and Children's Television Workshop's vice-president in charge of production.Sesame Street is a long-running American children's television series, produced by Sesame Workshop (formerly known as the Children's Television Workshop) and created by Joan Ganz Cooney and Lloyd Morrisett.","Who was the original executive producer of the children's television series, produced by Sesame Workshop and created by Joan Ganz Cooney and Lloyd Morrisett?",David Connell,The original producer was Joan Cooney.
" He developed some of the first flying machines and is credited with the first successful flight of a powered aircraft of any sort, a powered model plane, in 1857, and is sometimes credited with the first manned powered flight in history onboard his Monoplane in 1874,Early flying machines include all forms of aircraft studied or constructed before the development of the modern aeroplane by 1910.",What is the connection between Félix du Temple de la Croix and Early flying machines?,aircraft of any sort,Félix du Temple de la Croix is credited with the development of the first successful bird-like flying machines.
